"email","january","february","march","april","may","june","july","august","september","october","november","december"
"jbutt@gmail.com",6300,6300,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800
"josephine_darakjy@darakjy.org",9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"art@venere.org",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"lpaprocki@hotmail.com",8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"donette.foller@cox.net",6500,6500,6500,6700,6700,6700,6700,6700,6700,6700,6700,9500
"simona@morasca.com",9400,9400,9400,9700,9700,9700,9700,9700,9700,9700,9700,9700
"mitsue_tollner@yahoo.com",6100,6100,6100,6100,6100,7100,7100,7100,7100,7100,7100,7100
"leota@hotmail.com",8700,8700,8700,8700,9500,9500,9500,9500,9500,9500,9500,9500
"sage_wieser@cox.net",8700,8700,8700,8700,9000,9000,9000,9000,9000,9000,9000,9000
"kris@gmail.com",7200,7200,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"minna_amigon@yahoo.com",6100,6100,7300,7300,7300,7300,7300,9900,9900,9900,9900,9900
"amaclead@gmail.com",8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"kiley.caldarera@aol.com",8000,8000,8000,8000,8000,8300,8300,8300,8300,8300,8300,8300
"gruta@cox.net",6900,6900,6900,6900,6900,9200,9200,9200,9200,9200,9200,9200
"calbares@gmail.com",6400,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,9800
"mattie@aol.com",6100,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700
"meaghan@hotmail.com",8200,8200,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"gladys.rim@rim.org",8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400
"yuki_whobrey@aol.com",7800,7800,7800,9200,9200,9200,9200,9200,9200,9200,9400,9400
"fletcher.flosi@yahoo.com",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"bette_nicka@cox.net",8300,8300,9400,9400,9900,9900,9900,9900,9900,9900,9900,9900
"vinouye@aol.com",9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
"willard@hotmail.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"mroyster@royster.com",9100,9100,9100,9100,9100,9100,9100,9600,9600,9600,9600,9600
"alisha@slusarski.com",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"allene_iturbide@cox.net",9300,9300,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"chanel.caudy@caudy.org",8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400
"ezekiel@chui.com",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"wkusko@yahoo.com",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"bfigeroa@aol.com",8500,8500,8600,8700,8700,8700,8700,8700,8700,8700,8700,8700
"ammie@corrio.com",6100,6100,6100,6100,6100,7700,7700,7700,7700,7700,7700,7700
"francine_vocelka@vocelka.com",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"ernie_stenseth@aol.com",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9600
"albina@glick.com",8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200
"asergi@gmail.com",9300,9300,9300,9300,9300,9400,9400,9400,9400,9400,9400,9400
"solange@shinko.com",7700,7700,7700,7700,7700,7700,7700,7700,7700,9600,9600,9600
"jose@yahoo.com",6100,6100,6100,6100,6100,6100,9900,9900,9900,9900,9900,9900
"rozella.ostrosky@ostrosky.com",7200,7200,9500,9500,9500,9500,9500,9500,9600,9600,9600,9600
"valentine_gillian@gmail.com",7200,7200,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"kati.rulapaugh@hotmail.com",8300,8300,8300,8300,8300,8300,8300,8300,8900,8900,8900,8900
"youlanda@aol.com",8000,8000,8000,9400,9400,9400,9400,9400,9400,9400,9400,9400
"doldroyd@aol.com",8600,8600,8600,8600,8600,9700,9700,9700,9700,9700,9700,9700
"roxane@hotmail.com",6800,7200,7200,7200,7200,7200,9500,9500,9500,9500,9500,9500
"lperin@perin.org",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"erick.ferencz@aol.com",7000,7000,7000,7400,9400,9400,9400,9400,9400,9400,9400,9400
"fsaylors@saylors.org",6100,6100,6100,6100,8200,8200,8200,8200,8200,8200,8200,8200
"jina_briddick@briddick.com",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"kanisha_waycott@yahoo.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"emerson.bowley@bowley.org",8700,8700,8700,8700,9600,9600,9600,9600,9600,9600,9600,9600
"bmalet@yahoo.com",8700,8700,9200,9200,9200,9200,9200,9200,9200,9500,9500,9500
"bbolognia@yahoo.com",7700,8200,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
"lnestle@hotmail.com",8300,8300,8300,8300,8300,8300,8400,8400,8400,8400,8400,8400
"sabra@uyetake.org",9700,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"mmastella@mastella.com",7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800
"karl_klonowski@yahoo.com",9300,9300,9300,9300,9800,9800,9800,9800,9800,9800,9800,9800
"twenner@aol.com",6900,6900,6900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"amber_monarrez@monarrez.org",7400,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"shenika@gmail.com",6000,6000,6000,6000,7800,7800,7800,7800,7800,7800,7800,7800
"delmy.ahle@hotmail.com",7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,8300
"deeanna_juhas@gmail.com",8200,9300,9300,9300,9300,9300,9300,9300,9300,9900,9900,9900
"bpugh@aol.com",8100,8100,8100,8100,8100,8100,8100,8600,8600,8600,8600,8600
"jamal@vanausdal.org",9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
"cecily@hollack.org",8800,8800,8800,8800,8800,8800,8800,8800,9000,9000,9000,9000
"carmelina_lindall@lindall.com",9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"maurine_yglesias@yglesias.com",8400,8400,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"tawna@gmail.com",7300,7300,7300,7300,7300,7300,8000,8000,8000,8000,8000,8700
"penney_weight@aol.com",8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"elly_morocco@gmail.com",7900,7900,7900,7900,7900,7900,7900,8300,8500,8500,8500,8500
"ilene.eroman@hotmail.com",7400,7400,7400,7400,7400,9400,9400,9400,9400,9400,9400,9400
"vmondella@mondella.com",8500,8500,8500,8500,8500,8500,8500,8500,8500,8800,8800,8800
"kallie.blackwood@gmail.com",8100,8100,9100,9100,9100,9100,9100,9800,9800,9800,9800,9800
"johnetta_abdallah@aol.com",8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200
"brhym@rhym.com",6200,6200,6200,6200,6200,9100,9900,9900,9900,9900,9900,9900
"micaela_rhymes@gmail.com",6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,7300,9100
"tamar@hotmail.com",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"moon@yahoo.com",7400,7400,8300,8300,8300,8300,8300,8300,8400,8400,8400,8400
"laurel_reitler@reitler.com",6500,6500,6500,6500,6500,6500,7500,7500,7500,7500,7500,7500
"delisa.crupi@crupi.com",7400,7400,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300
"viva.toelkes@gmail.com",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"elza@yahoo.com",7000,7000,7000,7000,7000,7000,8800,8800,8800,8800,8800,8800
"devorah@hotmail.com",7100,7100,7100,7100,7100,7500,7500,7500,9300,9300,9300,9300
"timothy_mulqueen@mulqueen.org",6800,6800,6800,6800,6800,6800,8700,8700,9800,9800,9800,9800
"ahoneywell@honeywell.com",8800,8800,8800,8800,8800,8800,8800,8800,9500,9500,9500,9500
"dominque.dickerson@dickerson.org",8200,9300,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"lettie_isenhower@yahoo.com",7200,7200,7200,7200,7200,7200,7200,9000,9000,9000,9000,9000
"mmunns@cox.net",9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"stephaine@barfield.com",8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400
